,,,,,,,,,,,
Time Stamp,Production (kW),,,Wind Speed (m/s),,,Ambient Temperature (oC),,,Overall Production (kW),Grid Time (hours)
,,,,,,,,,,,
,,,,,,,,,,,
,min,avg,max,min,avg,max,min,avg,max,,
1/1/09 0:00,"1,659","1,668","1,680",13,13.7,15,-9,-9,-8,"1,678",1
31/12-2008 23:00:00,"1,658","1,668","1,679",11,12.8,15,-10,-10,-9,"1,677",1
31/12-2008 22:00:00,"1,659","1,669","1,676",12,12.8,14,-11,-11,-10,"1,680",1
31/12-2008 21:00:00,"1,660","1,668","1,675",11,12.4,13,-11,-11,-11,"1,673",1
31/12-2008 20:00:00,"1,549","1,663","1,687",10,11.5,12,-12,-12,-11,"1,671",1
31/12-2008 19:00:00,"1,573","1,662","1,694",10,12.7,15,-13,-12,-12,"1,671",1
31/12-2008 18:00:00,"1,653","1,665","1,677",12,13.4,14,-13,-13,-13,"1,674",1
31/12-2008 17:00:00,"1,660","1,668","1,677",11,12.3,14,-14,-14,-13,"1,676",1
31/12-2008 16:00:00,"1,247","1,604","1,683",9,11.0,13,-15,-15,-14,"1,611",1
31/12-2008 15:00:00,984,"1,263","1,593",8,9.0,11,-16,-16,-15,"1,267",1
31/12-2008 14:00:00,282,704,"1,114",5,6.9,9,-16,-16,-16,710,1
31/12-2008 13:00:00,461,685,"1,006",6,6.9,8,-17,-16,-16,691,1
31/12-2008 12:00:00,259,445,655,5,5.8,7,-19,-18,-17,451,1
31/12-2008 11:00:00,198,367,485,5,5.6,7,-19,-19,-18,372,1
31/12-2008 10:00:00,127,210,302,4,4.6,5,-20,-19,-19,215,1
31/12-2008 09:00:00,-17,19,129,2,3.1,4,-20,-19,-19,24,0
31/12-2008 08:00:00,-15,-11,-9,0,0.5,2,-21,-20,-18,0,0
31/12-2008 07:00:00,-15,-12,-10,0,0.0,0,-22,-20,-19,0,0
31/12-2008 06:00:00,-52,-14,-9,0,0.9,3,-22,-22,-21,0,0
31/12-2008 05:00:00,-27,63,129,3,3.5,5,-22,-22,-22,70,1
31/12-2008 04:00:00,159,261,341,5,5.5,6,-23,-23,-22,267,1
31/12-2008 03:00:00,293,449,696,5,6.2,7,-23,-23,-22,455,1
31/12-2008 02:00:00,607,916,"1,196",7,8.2,9,-23,-23,-22,922,1
31/12-2008 01:00:00,"1,079","1,361","1,617",9,9.4,10,-24,-23,-23,"1,368",1
31/12-2008 00:00:00,"1,207","1,484","1,681",8,9.8,11,-24,-23,-23,"1,490",1
30/12-2008 23:00:00,798,"1,419","1,682",7,9.7,11,-23,-22,-22,"1,427",1
30/12-2008 22:00:00,"1,221","1,585","1,691",9,10.3,11,-22,-22,-22,"1,594",1
30/12-2008 21:00:00,"1,102","1,515","1,698",8,10.2,12,-22,-22,-22,"1,522",1
30/12-2008 20:00:00,"1,395","1,625","1,690",9,10.6,12,-22,-21,-21,"1,633",1
30/12-2008 19:00:00,"1,407","1,639","1,690",9,10.9,12,-21,-20,-20,"1,648",1
30/12-2008 18:00:00,"1,635","1,667","1,693",10,11.7,13,-20,-19,-19,"1,675",1
30/12-2008 17:00:00,-47,"1,292","1,682",11,12.0,14,-19,-18,-16,"1,298",1
